"Date","Venue","Venue Address","Event Type","Event Details","Start Time","Ward","Location"
"12/20/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/21/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/22/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/23/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"12/24/2025","Daley Plaza","50 W. Washington Street","Special Event","Christkindlmarket - Chicago","11:00AM","42","POINT (-87.6302 41.88325)"
"10/12/2025","Grant Park","101-1159 S. Columbus Drive","Athletic","Bank of America Chicago Marathon 2025","TBA","4, 42",
"11/02/2025","Grant Park","121 S. Columbus Drive","Athletic","Hot Chocolate Run","TBA","42","POINT (-87.62072 41.8813)"
"10/04/2025","Huntington Bank Pavillion","1300 S. Linn White Drive","TBA","TBA","TBA","4","POINT (-87.60914 41.86454)"
"10/08/2025","Huntington Bank Pavillion","1300 S. Linn White Drive","Concert","Shawn Mendes","TBA","4","POINT (-87.60914 41.86454)"
"10/04/2025","Lincoln Park","1735 N. Stockton Drive","Athletic","Walk to End Alzheimer","TBA","43","POINT (-87.63276 41.91523)"
"11/21/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/21/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/22/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/23/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/24/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/26/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/27/2025","Lincoln Park","2601 N.Cannon Drive","Athletic","LifeTime Turkey Trot","6:00AM","44","POINT (-87.63436 41.92824)"
"11/28/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/29/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"11/30/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/01/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/03/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/04/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/05/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/06/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/07/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/08/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/10/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/11/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/12/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/13/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/14/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/15/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/17/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/18/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/19/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/20/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/21/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/22/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/23/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/26/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/27/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/28/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/29/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"12/31/2025","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"01/01/2026","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"01/02/2026","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"01/03/2026","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"01/04/2026","Lincoln Park","2601 N.Cannon Drive","Special Event","ZooLights","4:30PM","44","POINT (-87.63436 41.92824)"
"10/28/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Build 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"10/29/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Build 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"10/29/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","ANCC 2026 Magnet and Pathway Conference","ALL DAY","4","POINT (-87.61795 41.85139)"
"10/30/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","ANCC 2026 Magnet and Pathway Conference","ALL DAY","4","POINT (-87.61795 41.85139)"
"10/31/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","ANCC 2026 Magnet and Pathway Conference","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/03/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","CoreNet 2026 Global North American Summit","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/04/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","CoreNet 2026 Global North American Summit","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/05/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","CoreNet 2026 Global North American Summit","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/06/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","American Heart Association Scientific Sessions","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/07/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","American Heart Association Scientific Sessions","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/08/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","American Heart Association Scientific Sessions","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/09/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","American Heart Association Scientific Sessions","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/14/2025","McCormick Place","2301 S. Martin Luther King Drive","Volleyball Event","Chi Town Challenge","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/15/2025","McCormick Place","2301 S. Martin Luther King Drive","Volleyball Event","Chi Town Challenge","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/16/2025","McCormick Place","2301 S. Martin Luther King Drive","Volleyball Event","Chi Town Challenge","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/16/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","IEEE 2026 SC Conference","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/17/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Rockwell 2025 Automation Fair","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/18/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Rockwell 2025 Automation Fair","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/19/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Rockwell 2025 Automation Fair","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/20/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Rockwell 2025 Automation Fair","ALL DAY","4","POINT (-87.61795 41.85139)"
"11/30/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Radiological Society of North America","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/01/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Radiological Society of North America","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/02/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Radiological Society of North America","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/03/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","2025 Holiday Showcase","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/03/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Radiological Society of North America","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/04/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","Radiological Society of North America","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/04/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","2025 Holiday Showcase","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/17/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Midwest Clinic 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/18/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Midwest Clinic 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/19/2025","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Midwest Clinic 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"01/28/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","IMTS 2026 Exhibitor Workshop","ALL DAY","4","POINT (-87.61795 41.85139)"
"01/29/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","IMTS 2026 Exhibitor Workshop","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/07/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/08/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/09/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/10/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/11/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/12/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/13/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/14/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/15/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/16/2026","McCormick Place","2301 S. Martin Luther King Drive","Exhibition","2026 Chicago Auto Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/19/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Dental Society-Annual Midwinter Meeting 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/20/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Dental Society-Annual Midwinter Meeting 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/21/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Dental Society-Annual Midwinter Meeting 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/24/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Future of Protein Production","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/25/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Future of Protein Production","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/26/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SPSP 20226 Annual Convention","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/27/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SPSP 20226 Annual Convention","ALL DAY","4","POINT (-87.61795 41.85139)"
"02/28/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SPSP 20226 Annual Convention","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/10/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Inspired Home Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/11/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Inspired Home Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/12/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","The Inspired Home Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/13/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ASC King of the Jungle Chicago Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/14/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ASC King of the Jungle Chicago Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/15/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ASC King of the Jungle Chicago Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/16/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ASC King of the Jungle Chicago Show","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/22/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SCCM 2026 Annual Congress","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/23/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SCCM 2026 Annual Congress","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/24/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SCCM 2026 Annual Congress","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/25/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ABA Techshow 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/25/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","SCCM 2026 Annual Congress","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/26/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ABA Techshow 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/27/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ABA Techshow 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/27/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Comic & Entertainment Expo","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/28/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Comic & Entertainment Expo","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/28/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","ABA Techshow 2026","ALL DAY","4","POINT (-87.61795 41.85139)"
"03/29/2026","McCormick Place","2301 S. Martin Luther King Drive","Conference","Chicago Comic & Entertainment Expo","ALL DAY","4","POINT (-87.61795 41.85139)"
"12/06/2025","Montrose Beach","4400-4558 N SIMONDS DR","Athletic","Montrose Beach Cyclocross",,"46","POINT (-87.6469 41.9744)"
"10/04/2025","Soldier Field","1410 Special Olympics Drive","Soccer Game","Chicago Fire vs. Toronto","7:30PM","4","POINT (-87.6154 41.8642)"
"10/11/2025","Soldier Field","1410 Special Olympics Drive","Event Game","Pending Sporting Event","TBA","4","POINT (-87.6154 41.8642)"
"10/18/2025","Soldier Field","1410 Special Olympics Drive","Athletic","Making Strides Against Breast Cancer","TBA","4","POINT (-87.6154 41.8642)"
"10/19/2025","Soldier Field","1410 Special Olympics Drive","Football Game","Bears vs. Saints","12:00PM","4","POINT (-87.6154 41.8642)"
"11/01/2025","Soldier Field","1410 Special Olympics Drive","Soccer Game","The Rematch: Ireland Vs. All Blacks","3:00PM","3","POINT (-87.6154 41.8642)"
"11/01/2025","Soldier Field","1410 Special Olympics Drive","Rugby Match","Ireland vs. New Zealand","TBA","4","POINT (-87.6154 41.8642)"
"11/09/2025","Soldier Field","1410 Special Olympics Drive","Football Game","Bears vs. Giants","12:00PM","4","POINT (-87.6154 41.8642)"
"11/23/2025","Soldier Field","1410 Special Olympics Drive","Football Game","Bears vs. Steelers","12:00PM","4","POINT (-87.6154 41.8642)"
"12/14/2025","Soldier Field","1410 Special Olympics Drive","Football Game","Bears vs. Browns","12:00PM","4","POINT (-87.6154 41.8642)"
"12/20/2025","Soldier Field","1410 Special Olympics Drive","Football Game","Bears vs. Packers","TBA","4","POINT (-87.6154 41.8642)"
"01/04/2026","Soldier Field","1410 Special Olympics Drive","Football Game","Bears vs. Lions","TBA","4","POINT (-87.6154 41.8642)"
"01/04/2026","Soldier Field","1410 Special Olympics Drive","Football Game","Chicago Bears vs. Green Bay Packers","7:00PM","4","POINT (-87.6154 41.8642)"
"02/28/2026","Soldier Field","1410 Special Olympics Drive","Soccer Game","Fire vs. Montreal","1:30PM","4","POINT (-87.6154 41.8642)"
"03/14/2026","Soldier Field","1410 Special Olympics Drive","Soccer Game","Mexico vs. Belgium","8:00PM","4","POINT (-87.6154 41.8642)"
"03/14/2026","Soldier Field","1410 Special Olympics Drive","Soccer Game","Fire vs. United","7:30PM","4","POINT (-87.6154 41.8642)"
"10/27/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Hawks","7:00PM","27","POINT (-87.67421 41.88136)"
"10/28/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Senators","7:45PM","27","POINT (-87.67421 41.88136)"
"10/29/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Kings","7:00PM","27","POINT (-87.67421 41.88136)"
"10/30/2025","United Center","1901 W. Madison Street","Concert","Playboi Carti","7:00PM","27","POINT (-87.67421 41.88136)"
"10/31/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Knicks","7:00PM","27","POINT (-87.67421 41.88136)"
"11/03/2025","United Center","1901 W. Madison Street","Concert","Tame Impala","8:00PM","27","POINT (-87.67421 41.88136)"
"11/04/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. 76ers","7:00PM","27","POINT (-87.67421 41.88136)"
"11/05/2025","United Center","1901 W. Madison Street","Concert","KAYTRANADA X JUSTICE TOUR","7:00PM","27","POINT (-87.67421 41.88136)"
"11/07/2025","United Center","1901 W. Madison Street","Concert","Jo Koy","8:00PM","27","POINT (-87.67421 41.88136)"
"11/08/2025","United Center","1901 W. Madison Street","Concert","Druski","8:00PM","27","POINT (-87.67421 41.88136)"
"11/09/2025","United Center","1901 W. Madison Street","Basketball Game","Indiana vs. Marquette","12:00PM","27","POINT (-87.67421 41.88136)"
"11/10/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Spurs","7:00PM","27","POINT (-87.67421 41.88136)"
"11/12/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Devils","8:30PM","27","POINT (-87.67421 41.88136)"
"11/13/2025","United Center","1901 W. Madison Street","Concert","Maroon 5","8:00PM","27","POINT (-87.67421 41.88136)"
"11/15/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Maple Leafs","6:00PM","27","POINT (-87.67421 41.88136)"
"11/18/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Flames","7:30PM","27","POINT (-87.67421 41.88136)"
"11/19/2025","United Center","1901 W. Madison Street","Basketball Game","Illinois vs. Alabama","7:00PM","27","POINT (-87.67421 41.88136)"
"11/20/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Kraken","7:00PM","27","POINT (-87.67421 41.88136)"
"11/21/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Heat","7:00PM","27","POINT (-87.67421 41.88136)"
"11/22/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Wizards","7:00PM","27","POINT (-87.67421 41.88136)"
"11/23/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Avalanche","6:00PM","27","POINT (-87.67421 41.88136)"
"11/24/2025","United Center","1901 W. Madison Street","Concert","Paul McCartney","8:00PM","27","POINT (-87.67421 41.88136)"
"11/25/2025","United Center","1901 W. Madison Street","Concert","Paul McCartney","8:00PM","27","POINT (-87.67421 41.88136)"
"11/26/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Wild","7:30PM","27","POINT (-87.67421 41.88136)"
"11/27/2025","United Center","1901 W. Madison Street","Basketball Game","Duke vs. Arkansas","7:00PM","27","POINT (-87.67421 41.88136)"
"11/28/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Predators","7:00PM","27","POINT (-87.67421 41.88136)"
"11/30/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Ducks","2:30PM","27","POINT (-87.67421 41.88136)"
"12/01/2025","United Center","1901 W. Madison Street","Concert","Burna Boy","8:30PM","27","POINT (-87.67421 41.88136)"
"12/03/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Nets","7:00PM","27","POINT (-87.67421 41.88136)"
"12/05/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Pacers","7:00PM","27","POINT (-87.67421 41.88136)"
"12/06/2025","United Center","1901 W. Madison Street","Concert","107.5 WGCI BIG JAM","7:00PM","27","POINT (-87.67421 41.88136)"
"12/07/2025","United Center","1901 W. Madison Street","Basketball Game","Bulls vs. Warriors","6:00PM","27","POINT (-87.67421 41.88136)"
"12/10/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Rangers","6:30PM","27","POINT (-87.67421 41.88136)"
"12/13/2025","United Center","1901 W. Madison Street","Hockey Game","Blackhawks vs. Red Wings","7:00PM","27","POINT (-87.67421 41.88136)"
"12/15/2025","United Center","1901 W. Madison Street","Concert","Rod Wave","8:00PM","27","POINT (-87.67421 41.88136)"
"12/16/2025","United Center","1901 W. Madison Street","Concert","Rod Wave","8:00PM","27","POINT (-87.67421 41.88136)"
